java -jar itc2021.jar ITC2021_Middle_1.xml ITC2021_Middle_1Soln.xml -start ITC2021_Middle_1Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle1
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |    5471K |        - |    24_6275 |    24_6275 |    4269.13 | *
    |    5471K |        - |    24_6260 |    24_6260 |    4269.15 | *
    |    5471K |        - |    24_6244 |    24_6244 |    4269.16 | *
    |    5491K |        - |    23_6225 |    23_6225 |    4278.96 | *
    |    5491K |        - |    23_6219 |    23_6219 |    4279.00 | *
    |    5499K |        - |    22_6265 |    22_6265 |    4282.58 | *
    |    5499K |        - |    22_6260 |    22_6260 |    4282.91 | *
    |    5500K |        - |    22_6260 |    22_6260 |    4283.18 | 
    |    5502K |        - |    21_6171 |    21_6171 |    4284.16 | *
    |    5502K |        - |    21_6151 |    21_6151 |    4284.36 | *
    |    5503K |        - |    20_6156 |    20_6156 |    4284.38 | *
    |    5503K |        - |    20_6150 |    20_6150 |    4284.58 | *
    |    5517K |        - |    19_6120 |    19_6120 |    4290.32 | *
    |    5523K |        - |    17_6239 |    17_6239 |    4295.05 | *
    |    5524K |        - |    17_6234 |    17_6234 |    4295.21 | *
    |    5545K |        - |    16_6229 |    16_6229 |    4303.16 | *
    |    5595K |        - |     5_6039 |    16_6229 |    4323.16 | p-2
    | ILS perturbation level=2                      |    4323.16 | 
    |    5595K |        - |     5_6039 |    49_6067 |    4323.16 | p-2
    |    5595K |        - |    41_6073 |    41_6073 |    4323.16 | *
    |    5596K |        - |    41_6072 |    41_6072 |    4323.24 | *
    |    5596K |        - |    37_6073 |    37_6073 |    4323.32 | *
    |    5596K |        - |    36_6087 |    36_6087 |    4323.32 | *
    |    5596K |        - |    36_6052 |    36_6052 |    4323.32 | *
    |    5596K |        - |    36_6032 |    36_6032 |    4323.32 | *
    |    5597K |        - |    33_6037 |    33_6037 |    4323.38 | *
    |    5597K |        - |    33_6027 |    33_6027 |    4323.81 | *
    |    5597K |        - |    32_6032 |    32_6032 |    4323.82 | *
    |    5597K |        - |    30_6031 |    30_6031 |    4323.82 | *
    |    5597K |        - |    30_6021 |    30_6021 |    4323.87 | *
    |    5597K |        - |    26_6042 |    26_6042 |    4323.99 | *
    |    5598K |        - |    26_6041 |    26_6041 |    4324.46 | *
    |    5600K |        - |    26_6041 |    26_6041 |    4325.06 | 
    |    5603K |        - |    25_6057 |    25_6057 |    4326.73 | *
    |    5603K |        - |    25_6047 |    25_6047 |    4326.73 | *
    |    5603K |        - |    25_6046 |    25_6046 |    4326.76 | *
    |    5603K |        - |    25_6026 |    25_6026 |    4326.81 | *
    |    5612K |        - |    24_6189 |    24_6189 |    4355.05 | *
    |    5612K |        - |    24_6185 |    24_6185 |    4355.08 | *
    |    5613K |        - |    23_6210 |    23_6210 |    4355.11 | *
    |    5613K |        - |    22_6245 |    22_6245 |    4355.11 | *
    |    5615K |        - |    21_6135 |    21_6135 |    4359.03 | *
    |    5616K |        - |    21_6125 |    21_6125 |    4359.99 | *
    |    5666K |        - |     5_6039 |    21_6125 |    4383.15 | p-2
    | ILS perturbation level=2                      |    4383.15 | 
    |    5666K |        - |     5_6039 |    53_6180 |    4383.15 | p-2
    |    5666K |        - |    53_6179 |    53_6179 |    4383.15 | *
    |    5666K |        - |    52_6125 |    52_6125 |    4383.16 | *
    |    5666K |        - |    52_6120 |    52_6120 |    4383.18 | *
    |    5666K |        - |    50_6130 |    50_6130 |    4383.21 | *
    |    5667K |        - |    48_6129 |    48_6129 |    4383.22 | *
    |    5667K |        - |    48_6128 |    48_6128 |    4383.22 | *
    |    5667K |        - |    46_6124 |    46_6124 |    4383.22 | *
    |    5667K |        - |    45_6139 |    45_6139 |    4383.33 | *
    |    5667K |        - |    44_6135 |    44_6135 |    4383.33 | *
    |    5667K |        - |    44_6085 |    44_6085 |    4383.33 | *
    |    5667K |        - |    44_6080 |    44_6080 |    4383.68 | *
    |    5676K |        - |    33_5919 |    33_5919 |    4389.15 | *
    |    5677K |        - |    31_5919 |    31_5919 |    4389.38 | *
    |    5677K |        - |    29_5963 |    29_5963 |    4389.40 | *
    |    5677K |        - |    26_5949 |    26_5949 |    4389.58 | *
    |    5700K |        - |    26_5949 |    26_5949 |    4401.09 | 
    |    5717K |        - |    25_6017 |    25_6017 |    4408.40 | *
    |    5717K |        - |    25_6012 |    25_6012 |    4408.40 | *
    |    5734K |        - |    19_6019 |    19_6019 |    4419.05 | *
    |    5735K |        - |    13_6053 |    13_6053 |    4419.27 | *
    |    5738K |        - |    12_6062 |    12_6062 |    4421.67 | *
    |    5738K |        - |    12_6057 |    12_6057 |    4421.99 | *
    |    5752K |        - |     6_6063 |     6_6063 |    4428.42 | *
    |    5752K |        - |     6_6053 |     6_6053 |    4428.42 | *
    |    5782K |        - |     6_6044 |     6_6044 |    4440.32 | *
    |    5800K |        - |     6_6044 |     6_6044 |    4447.44 | 
    |    5832K |        - |     5_6039 |     6_6044 |    4459.44 | p-2
    | ILS perturbation level=2                      |    4459.44 | 
    |    5832K |        - |     5_6039 |    46_6046 |    4459.44 | p-2
    |    5832K |        - |    46_6040 |    46_6040 |    4459.44 | *
    |    5832K |        - |    30_5989 |    30_5989 |    4459.97 | *
    |    5833K |        - |    29_6170 |    29_6170 |    4461.09 | *
    |    5834K |        - |    28_6189 |    28_6189 |    4461.79 | *
    |    5835K |        - |    28_6184 |    28_6184 |    4462.54 | *
    |    5850K |        - |    27_6209 |    27_6209 |    4469.98 | *
    |    5850K |        - |    26_6214 |    26_6214 |    4470.01 | *
    |    5855K |        - |    25_6358 |    25_6358 |    4476.04 | *
    |    5858K |        - |    24_6428 |    24_6428 |    4478.05 | *
    |    5888K |        - |    23_6391 |    23_6391 |    4491.27 | *
    |    5888K |        - |    23_6386 |    23_6386 |    4491.30 | *
    |    5888K |        - |    23_6331 |    23_6331 |    4491.32 | *
    |    5889K |        - |    22_6316 |    22_6316 |    4491.69 | *
    |    5899K |        - |    20_6294 |    20_6294 |    4509.37 | *
    |    5900K |        - |    20_6294 |    20_6294 |    4509.93 | 
    |    5949K |        - |     5_6039 |    20_6294 |    4538.56 | p-2
    | ILS perturbation level=2                      |    4538.56 | 
    |    5949K |        - |     5_6039 |    18_6041 |    4538.56 | p-2
    |    5949K |        - |    16_6040 |    16_6040 |    4538.56 | *
    |    5949K |        - |     5_6039 |     5_6039 |    4538.74 | *
    |    5999K |        - |     5_6039 |     5_6039 |    4556.40 | p-2
    | ILS perturbation level=2                      |    4556.40 | 
    |    5999K |        - |     5_6039 |    59_6043 |    4556.40 | p-2
    |    5999K |        - |    49_6049 |    49_6049 |    4556.52 | *
    |    5999K |        - |    48_6041 |    48_6041 |    4556.52 | *
    |    5999K |        - |    47_6041 |    47_6041 |    4556.54 | *
    |    5999K |        - |    46_6033 |    46_6033 |    4556.58 | *
    |    6000K |        - |    46_6032 |    46_6032 |    4556.60 | *
    |    6000K |        - |    45_6027 |    45_6027 |    4556.61 | *
    |    6000K |        - |    43_6066 |    43_6066 |    4556.74 | *
    |    6000K |        - |    40_6066 |    40_6066 |    4556.74 | *
    |    6000K |        - |    20_6097 |    20_6097 |    4556.75 | *
    |    6000K |        - |    20_6097 |    20_6097 |    4556.77 | 
    |    6000K |        - |    19_6187 |    19_6187 |    4556.79 | *
    |    6000K |        - |    13_6197 |    13_6197 |    4556.89 | *
    |    6000K |        - |     8_6221 |     8_6221 |    4557.00 | *
    |    6000K |        - |     5_6052 |     5_6052 |    4557.11 | *
    |    6000K |        - |     5_6046 |     5_6046 |    4557.22 | *
    |    6001K |        - |     5_6043 |     5_6043 |    4557.36 | *
    |    6002K |        - |     5_6039 |     5_6039 |    4557.64 | *
    |    6052K |        - |     5_6039 |     5_6039 |    4577.58 | p-2
    | ILS perturbation level=2                      |    4577.58 | 
    |    6052K |        - |     5_6039 |    46_5995 |    4577.58 | p-2
    |    6052K |        - |    46_5993 |    46_5993 |    4577.61 | *
    |    6052K |        - |    44_5963 |    44_5963 |    4577.63 | *
    |    6052K |        - |    44_5961 |    44_5961 |    4577.75 | *
    |    6053K |        - |    42_5953 |    42_5953 |    4577.83 | *
    |    6053K |        - |    41_5969 |    41_5969 |    4578.07 | *
    |    6054K |        - |    31_5984 |    31_5984 |    4578.08 | *
    |    6054K |        - |    29_5985 |    29_5985 |    4578.10 | *
    |    6054K |        - |    23_5999 |    23_5999 |    4578.24 | *
    |    6054K |        - |    23_5989 |    23_5989 |    4578.25 | *
    |    6054K |        - |    22_6063 |    22_6063 |    4578.81 | *
    |    6054K |        - |    22_6062 |    22_6062 |    4578.89 | *
    |    6054K |        - |    20_6065 |    20_6065 |    4578.91 | *
    |    6063K |        - |    17_6071 |    17_6071 |    4583.82 | *
    |    6066K |        - |    16_6052 |    16_6052 |    4584.97 | *
    |    6066K |        - |    14_6017 |    14_6017 |    4585.16 | *
    |    6078K |        - |    13_6182 |    13_6182 |    4592.08 | *
    |    6100K |        - |    13_6182 |    13_6182 |    4600.22 | 
    |    6128K |        - |    11_6208 |    11_6208 |    4611.12 | *
    |    6129K |        - |    11_6204 |    11_6204 |    4611.50 | *
    |    6129K |        - |    10_6200 |    10_6200 |    4611.58 | *
    |    6157K |        - |     9_6393 |     9_6393 |    4621.87 | *
    |    6159K |        - |     9_6382 |     9_6382 |    4622.12 | *
    |    6159K |        - |     9_6342 |     9_6342 |    4622.28 | *
    |    6196K |        - |     7_6277 |     7_6277 |    4634.73 | *
    |    6196K |        - |     7_6267 |     7_6267 |    4634.94 | *
    |    6200K |        - |     7_6267 |     7_6267 |    4636.38 | 
    |    6246K |        - |     5_6039 |     7_6267 |    4654.62 | p-2
    | ILS perturbation level=2                      |    4654.62 | 
    |    6246K |        - |     5_6039 |    18_6049 |    4654.62 | p-2
    |    6247K |        - |    12_6053 |    12_6053 |    4654.77 | *
    |    6247K |        - |     5_6043 |     5_6043 |    4654.88 | *
    |    6247K |        - |     5_6039 |     5_6039 |    4654.90 | *
    |    6297K |        - |     5_6039 |     5_6039 |    4675.60 | p-2
    | ILS perturbation level=2                      |    4675.60 | 
    |    6297K |        - |     5_6039 |    19_6043 |    4675.60 | p-2
    |    6297K |        - |    14_6042 |    14_6042 |    4675.86 | *
    |    6297K |        - |     9_6037 |     9_6037 |    4675.86 | *
    |    6297K |        - |     7_6042 |     7_6042 |    4675.97 | *
    |    6297K |        - |     7_6038 |     7_6038 |    4676.24 | *
    |    6298K |        - |     5_6039 |     5_6039 |    4676.41 | *
    |    6300K |        - |     5_6039 |     5_6039 |    4677.50 | 
    |    6385K |        - |     5_6039 |     5_6039 |    4708.57 | p-2
    | ILS perturbation level=2                      |    4708.57 | 
    |    6385K |        - |     5_6039 |    53_6089 |    4708.57 | p-2
    |    6385K |        - |    48_6094 |    48_6094 |    4708.59 | *
    |    6385K |        - |    48_6093 |    48_6093 |    4708.61 | *
    |    6385K |        - |    48_6088 |    48_6088 |    4708.61 | *
    |    6386K |        - |    23_6149 |    23_6149 |    4708.74 | *
    |    6387K |        - |    23_6145 |    23_6145 |    4709.15 | *
    |    6387K |        - |    22_6183 |    22_6183 |    4710.05 | *
    |    6388K |        - |    21_6258 |    21_6258 |    4710.28 | *
    |    6389K |        - |    20_6338 |    20_6338 |    4711.55 | *
    |    6399K |        - |    19_6333 |    19_6333 |    4717.44 | *
    |    6400K |        - |    19_6333 |    19_6333 |    4717.65 | 
    |    6406K |        - |    18_6428 |    18_6428 |    4721.08 | *
    |    6456K |        - |     5_6039 |    18_6428 |    4739.67 | p-2
    | ILS perturbation level=2                      |    4739.67 | 
    |    6456K |        - |     5_6039 |    74_6124 |    4739.67 | p-2
    |    6456K |        - |    73_6139 |    73_6139 |    4739.67 | *
    |    6456K |        - |    70_6143 |    70_6143 |    4739.67 | *
    |    6457K |        - |    59_6128 |    59_6128 |    4740.05 | *
    |    6457K |        - |    59_6123 |    59_6123 |    4740.05 | *
    |    6457K |        - |    57_6143 |    57_6143 |    4740.08 | *
    |    6457K |        - |    55_6126 |    55_6126 |    4740.80 | *
    |    6457K |        - |    42_6090 |    42_6090 |    4740.80 | *
    |    6457K |        - |    42_6085 |    42_6085 |    4740.97 | *
    |    6457K |        - |    42_6084 |    42_6084 |    4740.97 | *
    |    6457K |        - |    29_6187 |    29_6187 |    4741.10 | *
    |    6458K |        - |    28_6152 |    28_6152 |    4741.28 | *
    |    6458K |        - |    28_6147 |    28_6147 |    4741.44 | *
    |    6458K |        - |    28_6137 |    28_6137 |    4741.49 | *
    |    6458K |        - |    27_6232 |    27_6232 |    4742.11 | *
    |    6459K |        - |    27_6122 |    27_6122 |    4742.61 | *
    |    6460K |        - |    27_6121 |    27_6121 |    4742.66 | *
    |    6461K |        - |    27_6120 |    27_6120 |    4743.97 | *
    |    6464K |        - |    24_6297 |    24_6297 |    4747.18 | *
    |    6468K |        - |    23_6163 |    23_6163 |    4749.51 | *
    |    6500K |        - |    23_6163 |    23_6163 |    4768.02 | 
    |    6509K |        - |    22_6084 |    22_6084 |    4773.63 | *
    |    6546K |        - |    21_6088 |    21_6088 |    4795.16 | *
    |    6596K |        - |     5_6039 |    21_6088 |    4829.42 | p-2
    | ILS perturbation level=2                      |    4829.42 | 
    |    6596K |        - |     5_6039 |    71_6061 |    4829.42 | p-2
    |    6596K |        - |    68_6060 |    68_6060 |    4829.42 | *
    |    6596K |        - |    59_6055 |    59_6055 |    4830.82 | *
    |    6596K |        - |    59_6053 |    59_6053 |    4830.84 | *
    |    6596K |        - |    56_6058 |    56_6058 |    4830.87 | *
    |    6596K |        - |    56_6053 |    56_6053 |    4830.93 | *
    |    6597K |        - |    56_6033 |    56_6033 |    4830.96 | *
    |    6597K |        - |    54_6023 |    54_6023 |    4830.98 | *
    |    6597K |        - |    28_5966 |    28_5966 |    4831.14 | *
    |    6597K |        - |    27_5963 |    27_5963 |    4831.15 | *
    |    6597K |        - |    22_6020 |    22_6020 |    4831.43 | *
    |    6598K |        - |    15_6020 |    15_6020 |    4831.46 | *
    |    6598K |        - |    14_6020 |    14_6020 |    4831.48 | *
    |    6598K |        - |    13_6020 |    13_6020 |    4831.51 | *
    |    6598K |        - |    10_6022 |    10_6022 |    4831.51 | *
    |    6599K |        - |     8_6025 |     8_6025 |    4831.84 | *
    |    6600K |        - |     8_6025 |     8_6025 |    4832.21 | 
    |    6602K |        - |     7_6003 |     7_6003 |    4833.59 | *
    |    6608K |        - |     6_6027 |     6_6027 |    4836.00 | *
    |    6609K |        - |     6_6017 |     6_6017 |    4836.31 | *
    |    6611K |        - |     5_6052 |     5_6052 |    4837.25 | *
    |    6611K |        - |     5_6049 |     5_6049 |    4837.54 | *
    |    6612K |        - |     5_6039 |     5_6039 |    4837.79 | *
    |    6662K |        - |     5_6039 |     5_6039 |    4857.06 | p-2
    | ILS perturbation level=2                      |    4857.06 | 
    |    6662K |        - |     5_6039 |    40_6144 |    4857.06 | p-2
    |    6662K |        - |    38_6134 |    38_6134 |    4857.23 | *
    |    6662K |        - |    33_6133 |    33_6133 |    4857.23 | *
    |    6662K |        - |    31_6083 |    31_6083 |    4857.23 | *
    |    6662K |        - |    31_6072 |    31_6072 |    4857.23 | *
    |    6662K |        - |    30_6074 |    30_6074 |    4857.73 | *
    |    6662K |        - |    30_6063 |    30_6063 |    4857.73 | *
    |    6663K |        - |    29_6061 |    29_6061 |    4857.89 | *
    |    6664K |        - |    23_6059 |    23_6059 |    4859.15 | *
    |    6672K |        - |    20_6031 |    20_6031 |    4862.78 | *
    |    6674K |        - |    19_6160 |    19_6160 |    4864.34 | *
    |    6675K |        - |    19_6155 |    19_6155 |    4864.56 | *
    |    6700K |        - |    19_6155 |    19_6155 |    4880.81 | 
    |    6725K |        - |     5_6039 |    19_6155 |    4892.55 | p-2
    | ILS perturbation level=2                      |    4892.57 | 
    |    6725K |        - |     5_6039 |    38_6088 |    4892.57 | p-2
    |    6725K |        - |    11_6033 |    11_6033 |    4892.57 | *
    |    6725K |        - |     5_6039 |     5_6039 |    4892.60 | *
    |    6775K |        - |     5_6039 |     5_6039 |    4911.91 | p-2
    | ILS perturbation level=2                      |    4911.91 | 
    |    6775K |        - |     5_6039 |    77_5984 |    4911.91 | p-2
    |    6775K |        - |    76_5900 |    76_5900 |    4911.91 | *
    |    6775K |        - |    74_5955 |    74_5955 |    4911.91 | *
    |    6775K |        - |    74_5951 |    74_5951 |    4911.91 | *
    |    6775K |        - |    74_5950 |    74_5950 |    4911.93 | *
    |    6775K |        - |    71_5945 |    71_5945 |    4911.93 | *
    |    6775K |        - |    67_5895 |    67_5895 |    4911.93 | *
    |    6775K |        - |    66_5884 |    66_5884 |    4912.93 | *
    |    6775K |        - |    63_5844 |    63_5844 |    4912.93 | *
    |    6775K |        - |    61_5886 |    61_5886 |    4913.10 | *
    |    6775K |        - |    61_5811 |    61_5811 |    4913.13 | *
    |    6775K |        - |    59_5841 |    59_5841 |    4913.27 | *
    |    6776K |        - |    57_5846 |    57_5846 |    4913.29 | *
    |    6776K |        - |    55_5870 |    55_5870 |    4913.30 | *
    |    6776K |        - |    53_5920 |    53_5920 |    4913.46 | *
    |    6776K |        - |    48_5989 |    48_5989 |    4913.80 | *
    |    6777K |        - |    41_6196 |    41_6196 |    4914.15 | *
    |    6777K |        - |    41_6101 |    41_6101 |    4914.15 | *
    |    6777K |        - |    37_6009 |    37_6009 |    4916.43 | *
    |    6777K |        - |    36_6014 |    36_6014 |    4916.82 | *
    |    6780K |        - |    35_6001 |    35_6001 |    4917.47 | *
    |    6799K |        - |    32_6034 |    32_6034 |    4927.69 | *
    |    6799K |        - |    30_6059 |    30_6059 |    4927.80 | *
    |    6800K |        - |    30_6055 |    30_6055 |    4927.87 | *
    |    6800K |        - |    30_6055 |    30_6055 |    4927.90 | 
    |    6802K |        - |    29_6095 |    29_6095 |    4928.75 | *
    |    6803K |        - |    29_6091 |    29_6091 |    4929.21 | *
    |    6853K |        - |     5_6039 |    29_6091 |    4953.22 | p-2
    | ILS perturbation level=2                      |    4953.22 | 
    |    6853K |        - |     5_6039 |    56_6132 |    4953.22 | p-2
    |    6853K |        - |    48_6136 |    48_6136 |    4953.24 | *
    |    6853K |        - |    48_6131 |    48_6131 |    4953.24 | *
    |    6853K |        - |    44_6161 |    44_6161 |    4953.38 | *
    |    6854K |        - |    34_6161 |    34_6161 |    4954.91 | *
    |    6854K |        - |    34_6151 |    34_6151 |    4954.99 | *
    |    6854K |        - |    30_6191 |    30_6191 |    4955.00 | *
    |    6855K |        - |    30_6156 |    30_6156 |    4955.83 | *
    |    6856K |        - |    29_6164 |    29_6164 |    4956.52 | *
    |    6869K |        - |    26_6199 |    26_6199 |    4963.87 | *
    |    6871K |        - |    26_6154 |    26_6154 |    4964.18 | *
    |    6900K |        - |    26_6154 |    26_6154 |    4977.54 | 
    |    6913K |        - |    25_6172 |    25_6172 |    4983.46 | *
    |    6913K |        - |    25_6167 |    25_6167 |    4983.48 | *
    |    6914K |        - |    24_6181 |    24_6181 |    4984.15 | *
    |    6964K |        - |     5_6039 |    24_6181 |    5007.31 | p-2
    | ILS perturbation level=2                      |    5007.31 | 
    |    6964K |        - |     5_6039 |    32_6129 |    5007.31 | p-2
    |    6964K |        - |    27_6144 |    27_6144 |    5007.31 | *
    |    6964K |        - |    27_6139 |    27_6139 |    5007.31 | *
    |    6965K |        - |    27_6134 |    27_6134 |    5007.34 | *
    |    6965K |        - |    26_6234 |    26_6234 |    5007.34 | *
    |    6965K |        - |    23_6106 |    23_6106 |    5008.03 | *
    |    6965K |        - |    23_6081 |    23_6081 |    5008.05 | *
    |    6965K |        - |    22_6196 |    22_6196 |    5008.31 | *
    |    6966K |        - |    22_6191 |    22_6191 |    5008.83 | *
    |    6971K |        - |    18_6204 |    18_6204 |    5012.12 | *
    |    6971K |        - |    16_6224 |    16_6224 |    5012.23 | *
    |    6972K |        - |    16_6203 |    16_6203 |    5012.30 | *
    |    6972K |        - |    16_6198 |    16_6198 |    5012.59 | *
    |    6973K |        - |    16_6193 |    16_6193 |    5012.81 | *
    |    6973K |        - |    16_6148 |    16_6148 |    5012.81 | *
    |    6975K |        - |    16_6147 |    16_6147 |    5014.80 | *
    |    6985K |        - |    15_6299 |    15_6299 |    5024.38 | *
    |    6985K |        - |    15_6270 |    15_6270 |    5024.38 | *
    |    6985K |        - |    15_6264 |    15_6264 |    5024.38 | *
    |    6985K |        - |    14_6290 |    14_6290 |    5024.67 | *
    |    6986K |        - |    14_6289 |    14_6289 |    5025.05 | *
    |    6986K |        - |    14_6279 |    14_6279 |    5025.06 | *
    |    7000K |        - |    14_6279 |    14_6279 |    5029.13 | 
    |    7036K |        - |     5_6039 |    14_6279 |    5043.08 | p-2
    | ILS perturbation level=2                      |    5043.08 | 
    |    7036K |        - |     5_6039 |    70_5839 |    5043.08 | p-2
    |    7036K |        - |    30_6014 |    30_6014 |    5043.08 | *
    |    7036K |        - |    29_6079 |    29_6079 |    5043.10 | *
    |    7036K |        - |    29_6077 |    29_6077 |    5043.27 | *
    |    7036K |        - |    29_6076 |    29_6076 |    5043.27 | *
    |    7037K |        - |     8_6162 |     8_6162 |    5043.67 | *
    |    7037K |        - |     5_6158 |     5_6158 |    5043.79 | *
    |    7037K |        - |     5_6154 |     5_6154 |    5043.79 | *
    |    7038K |        - |     5_6039 |     5_6039 |    5043.91 | *
    |    7088K |        - |     5_6039 |     5_6039 |    5062.55 | p-2
    | ILS perturbation level=2                      |    5062.55 | 
    |    7088K |        - |     5_6039 |    40_6014 |    5062.55 | p-2
    |    7088K |        - |    35_6018 |    35_6018 |    5062.71 | *
    |    7088K |        - |    33_6022 |    33_6022 |    5062.71 | *
    |    7088K |        - |    33_6019 |    33_6019 |    5062.71 | *
    |    7088K |        - |    31_6037 |    31_6037 |    5062.86 | *
    |    7088K |        - |    31_6034 |    31_6034 |    5062.88 | *
    |    7088K |        - |    29_6033 |    29_6033 |    5063.13 | *
    |    7089K |        - |    29_6024 |    29_6024 |    5063.17 | *
    |    7089K |        - |    12_6034 |    12_6034 |    5063.50 | *
    |    7090K |        - |     9_6025 |     9_6025 |    5064.00 | *
    |    7090K |        - |     7_6025 |     7_6025 |    5064.03 | *
    |    7090K |        - |     6_6027 |     6_6027 |    5064.05 | *
    |    7091K |        - |     5_6042 |     5_6042 |    5064.80 | *
    |    7092K |        - |     5_6039 |     5_6039 |    5065.03 | *
    |    7100K |        - |     5_6039 |     5_6039 |    5067.46 | 
    |    7142K |        - |     5_6039 |     5_6039 |    5082.50 | p-2
    | ILS perturbation level=2                      |    5082.50 | 
    |    7142K |        - |     5_6039 |    35_6108 |    5082.50 | p-2
    |    7142K |        - |    30_6111 |    30_6111 |    5084.56 | *
    |    7142K |        - |    29_6112 |    29_6112 |    5092.39 | *
    |    7142K |        - |    28_6193 |    28_6193 |    5092.42 | *
    |    7142K |        - |    26_6193 |    26_6193 |    5092.44 | *
    |    7142K |        - |    26_6163 |    26_6163 |    5092.44 | *
    |    7142K |        - |    24_6177 |    24_6177 |    5092.61 | *
    |    7143K |        - |    24_6158 |    24_6158 |    5092.73 | *
    |    7144K |        - |    21_6234 |    21_6234 |    5095.06 | *
    |    7144K |        - |    21_6219 |    21_6219 |    5095.08 | *
    |    7144K |        - |    18_6156 |    18_6156 |    5096.34 | *
    |    7144K |        - |    18_6146 |    18_6146 |    5096.36 | *
    |    7145K |        - |    18_6111 |    18_6111 |    5096.67 | *
    |    7149K |        - |    16_6096 |    16_6096 |    5098.91 | *
    |    7151K |        - |    14_6078 |    14_6078 |    5099.39 | *
    |    7162K |        - |    12_6107 |    12_6107 |    5104.55 | *
    |    7162K |        - |    12_6092 |    12_6092 |    5104.55 | *
    |    7163K |        - |    12_6088 |    12_6088 |    5104.61 | *
    |    7163K |        - |    12_6083 |    12_6083 |    5104.77 | *
    |    7197K |        - |    10_6141 |    10_6141 |    5122.56 | *
    |    7197K |        - |    10_6126 |    10_6126 |    5122.58 | *
    |    7200K |        - |    10_6126 |    10_6126 |    5123.99 | 
    |    7207K |        - |     9_6170 |     9_6170 |    5126.81 | *
    |    7207K |        - |     9_6166 |     9_6166 |    5127.08 | *
    |    7210K |        - |     9_6159 |     9_6159 |    5127.91 | *
    |    7244K |        - |     9_6158 |     9_6158 |    5142.05 | *
    |    7245K |        - |     9_6152 |     9_6152 |    5142.43 | *
    |    7295K |        - |     5_6039 |     9_6152 |    5161.56 | p-2
    | ILS perturbation level=2                      |    5161.56 | 
    |    7295K |        - |     5_6039 |    78_6201 |    5161.56 | p-2
    |    7295K |        - |    73_6211 |    73_6211 |    5161.57 | *
    |    7295K |        - |    70_6254 |    70_6254 |    5161.57 | *
    |    7295K |        - |    70_6253 |    70_6253 |    5161.60 | *
    |    7296K |        - |    68_6373 |    68_6373 |    5161.68 | *
    |    7296K |        - |    64_6398 |    64_6398 |    5161.70 | *
    |    7296K |        - |    62_6398 |    62_6398 |    5161.70 | *
    |    7297K |        - |    62_6392 |    62_6392 |    5162.23 | *
    |    7297K |        - |    62_6352 |    62_6352 |    5162.24 | *
    |    7298K |        - |    62_6332 |    62_6332 |    5162.29 | *
    |    7299K |        - |    60_6445 |    60_6445 |    5166.35 | *
    |    7299K |        - |    58_6619 |    58_6619 |    5171.18 | *
    |    7299K |        - |    57_6582 |    57_6582 |    5171.50 | *
    |    7299K |        - |    55_6581 |    55_6581 |    5171.50 | *
    |    7300K |        - |    55_6576 |    55_6576 |    5171.86 | *
    |    7300K |        - |    55_6576 |    55_6576 |    5171.95 | 
    |    7303K |        - |    53_6566 |    53_6566 |    5174.27 | *
    |    7304K |        - |    53_6556 |    53_6556 |    5174.30 | *
    |    7306K |        - |    52_6518 |    52_6518 |    5176.15 | *
    |    7313K |        - |    49_6494 |    49_6494 |    5182.84 | *
    |    7338K |        - |    48_6495 |    48_6495 |    5201.96 | *
    |    7339K |        - |    48_6489 |    48_6489 |    5203.22 | *
    |    7341K |        - |    47_6535 |    47_6535 |    5207.39 | *
    |    7346K |        - |    44_6453 |    44_6453 |    5211.68 | *
    |    7346K |        - |    44_6447 |    44_6447 |    5211.71 | *
    |    7372K |        - |    42_6492 |    42_6492 |    5231.85 | *
    |    7372K |        - |    42_6487 |    42_6487 |    5232.02 | *
    |    7374K |        - |    38_6563 |    38_6563 |    5233.36 | *
    |    7375K |        - |    37_6708 |    37_6708 |    5235.51 | *
    |    7375K |        - |    37_6688 |    37_6688 |    5235.68 | *
    |    7375K |        - |    37_6683 |    37_6683 |    5235.71 | *
    |    7375K |        - |    37_6618 |    37_6618 |    5235.71 | *
    |    7376K |        - |    36_6564 |    36_6564 |    5236.32 | *
    |    7376K |        - |    36_6540 |    36_6540 |    5236.65 | *
    |    7376K |        - |    34_6541 |    34_6541 |    5236.66 | *
    |    7378K |        - |    31_6567 |    31_6567 |    5239.07 | *
    |    7386K |        - |    29_6517 |    29_6517 |    5242.84 | *
    |    7386K |        - |    29_6504 |    29_6504 |    5242.87 | *
    |    7388K |        - |    27_6619 |    27_6619 |    5247.17 | *
    |    7400K |        - |    27_6619 |    27_6619 |    5253.91 | 
    |    7438K |        - |     5_6039 |    27_6619 |    5272.49 | p-2
    | ILS perturbation level=2                      |    5272.49 | 
    |    7438K |        - |     5_6039 |    17_6051 |    5272.49 | p-2
    |    7438K |        - |    11_6041 |    11_6041 |    5272.49 | *
    |    7438K |        - |     5_6039 |     5_6039 |    5272.60 | *
    |    7488K |        - |     5_6039 |     5_6039 |    5291.54 | p-2
    | ILS perturbation level=2                      |    5291.54 | 
    |    7488K |        - |     5_6039 |    12_6042 |    5291.54 | p-2
