java -jar itc2021.jar ITC2021_Middle_2.xml ITC2021_Middle_2Soln.xml -start ITC2021_Middle_2Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle2
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |    5159K |        - |    17_7328 |    46_7445 |    4375.56 | p-1
    |    5160K |        - |    46_7395 |    46_7395 |    4375.73 | *
    |    5160K |        - |    20_7298 |    20_7298 |    4375.75 | *
    |    5160K |        - |    19_7323 |    19_7323 |    4376.03 | *
    |    5160K |        - |    17_7353 |    17_7353 |    4376.04 | *
    |    5178K |        - |    17_7328 |    17_7328 |    4383.53 | *
    |    5200K |        - |    17_7328 |    17_7328 |    4393.35 | 
    |    5228K |        - |    17_7328 |    17_7328 |    4406.12 | p-1
    | ILS perturbation level=1                      |    4406.12 | 
    |    5228K |        - |    17_7328 |   102_7522 |    4406.12 | p-1
    |    5228K |        - |    91_7532 |    91_7532 |    4406.13 | *
    |    5228K |        - |    88_7543 |    88_7543 |    4406.14 | *
    |    5228K |        - |    86_7464 |    86_7464 |    4406.15 | *
    |    5228K |        - |    78_7424 |    78_7424 |    4406.15 | *
    |    5228K |        - |    78_7423 |    78_7423 |    4406.16 | *
    |    5228K |        - |    77_7448 |    77_7448 |    4406.19 | *
    |    5228K |        - |    74_7453 |    74_7453 |    4406.20 | *
    |    5228K |        - |    71_7498 |    71_7498 |    4406.21 | *
    |    5228K |        - |    71_7468 |    71_7468 |    4406.22 | *
    |    5229K |        - |    70_7498 |    70_7498 |    4406.29 | *
    |    5229K |        - |    66_7403 |    66_7403 |    4406.40 | *
    |    5229K |        - |    63_7402 |    63_7402 |    4407.26 | *
    |    5231K |        - |    63_7387 |    63_7387 |    4408.96 | *
    |    5236K |        - |    43_7061 |    43_7061 |    4412.02 | *
    |    5237K |        - |    41_7096 |    41_7096 |    4412.63 | *
    |    5237K |        - |    41_7065 |    41_7065 |    4412.95 | *
    |    5242K |        - |    40_7050 |    40_7050 |    4415.99 | *
    |    5245K |        - |    39_7132 |    39_7132 |    4418.80 | *
    |    5245K |        - |    35_7071 |    35_7071 |    4419.08 | *
    |    5245K |        - |    32_7290 |    32_7290 |    4419.88 | *
    |    5246K |        - |    30_7346 |    30_7346 |    4420.14 | *
    |    5257K |        - |    28_7315 |    28_7315 |    4427.63 | *
    |    5257K |        - |    28_7280 |    28_7280 |    4427.67 | *
    |    5267K |        - |    27_7379 |    27_7379 |    4433.64 | *
    |    5273K |        - |    23_7422 |    23_7422 |    4442.27 | *
    |    5274K |        - |    22_7452 |    22_7452 |    4442.80 | *
    |    5276K |        - |    22_7451 |    22_7451 |    4443.80 | *
    |    5277K |        - |    21_7405 |    21_7405 |    4444.00 | *
    |    5277K |        - |    21_7400 |    21_7400 |    4444.02 | *
    |    5300K |        - |    21_7400 |    21_7400 |    4454.86 | 
    |    5327K |        - |    17_7328 |    21_7400 |    4468.58 | p-1
    | ILS perturbation level=1                      |    4468.58 | 
    |    5327K |        - |    17_7328 |   110_7504 |    4468.58 | p-1
    |    5327K |        - |   108_7439 |   108_7439 |    4468.60 | *
    |    5327K |        - |   107_7413 |   107_7413 |    4468.61 | *
    |    5327K |        - |   104_7403 |   104_7403 |    4468.61 | *
    |    5327K |        - |   100_7408 |   100_7408 |    4468.63 | *
    |    5328K |        - |    93_7384 |    93_7384 |    4468.66 | *
    |    5328K |        - |    91_7389 |    91_7389 |    4468.68 | *
    |    5328K |        - |    86_7393 |    86_7393 |    4468.72 | *
    |    5329K |        - |    85_7403 |    85_7403 |    4471.33 | *
    |    5329K |        - |    85_7342 |    85_7342 |    4472.44 | *
    |    5329K |        - |    84_7327 |    84_7327 |    4472.44 | *
    |    5329K |        - |    83_7327 |    83_7327 |    4472.50 | *
    |    5330K |        - |    83_7316 |    83_7316 |    4473.87 | *
    |    5330K |        - |    77_7389 |    77_7389 |    4475.79 | *
    |    5330K |        - |    71_7436 |    71_7436 |    4479.14 | *
    |    5330K |        - |    71_7396 |    71_7396 |    4479.17 | *
    |    5331K |        - |    70_7261 |    70_7261 |    4479.17 | *
    |    5331K |        - |    69_7231 |    69_7231 |    4479.22 | *
    |    5331K |        - |    64_7257 |    64_7257 |    4479.23 | *
    |    5331K |        - |    63_7236 |    63_7236 |    4479.27 | *
    |    5332K |        - |    60_7241 |    60_7241 |    4479.37 | *
    |    5332K |        - |    58_7241 |    58_7241 |    4480.87 | *
    |    5332K |        - |    58_7221 |    58_7221 |    4480.87 | *
    |    5332K |        - |    57_7186 |    57_7186 |    4481.02 | *
    |    5335K |        - |    56_7287 |    56_7287 |    4483.13 | *
    |    5335K |        - |    55_7261 |    55_7261 |    4483.56 | *
    |    5335K |        - |    51_7258 |    51_7258 |    4483.58 | *
    |    5336K |        - |    49_7239 |    49_7239 |    4485.56 | *
    |    5341K |        - |    47_7197 |    47_7197 |    4487.75 | *
    |    5341K |        - |    46_7197 |    46_7197 |    4487.91 | *
    |    5342K |        - |    45_7317 |    45_7317 |    4488.19 | *
    |    5342K |        - |    44_7212 |    44_7212 |    4488.19 | *
    |    5379K |        - |    42_7282 |    42_7282 |    4531.20 | *
    |    5383K |        - |    40_7327 |    40_7327 |    4535.05 | *
    |    5384K |        - |    39_7321 |    39_7321 |    4535.63 | *
    |    5388K |        - |    38_7249 |    38_7249 |    4538.37 | *
    |    5388K |        - |    38_7228 |    38_7228 |    4538.70 | *
    |    5400K |        - |    38_7228 |    38_7228 |    4546.04 | 
    |    5424K |        - |    37_7275 |    37_7275 |    4559.53 | *
    |    5474K |        - |    17_7328 |    37_7275 |    4660.52 | p-1
    | ILS perturbation level=1                      |    4660.52 | 
    |    5474K |        - |    17_7328 |    52_7307 |    4660.52 | p-1
    |    5474K |        - |    51_7313 |    51_7313 |    4660.54 | *
    |    5474K |        - |    50_7318 |    50_7318 |    4660.58 | *
    |    5475K |        - |    47_7280 |    47_7280 |    4660.63 | *
    |    5475K |        - |    46_7277 |    46_7277 |    4661.47 | *
    |    5475K |        - |    41_7335 |    41_7335 |    4661.69 | *
    |    5475K |        - |    41_7282 |    41_7282 |    4661.72 | *
    |    5476K |        - |    39_7200 |    39_7200 |    4663.68 | *
    |    5481K |        - |    38_7329 |    38_7329 |    4669.02 | *
    |    5481K |        - |    37_7338 |    37_7338 |    4669.18 | *
    |    5484K |        - |    35_7312 |    35_7312 |    4670.99 | *
    |    5500K |        - |    35_7312 |    35_7312 |    4685.54 | 
    |    5510K |        - |    33_7331 |    33_7331 |    4693.98 | *
    |    5510K |        - |    32_7326 |    32_7326 |    4693.98 | *
    |    5510K |        - |    31_7331 |    31_7331 |    4694.09 | *
    |    5510K |        - |    29_7349 |    29_7349 |    4694.25 | *
    |    5510K |        - |    29_7329 |    29_7329 |    4694.27 | *
    |    5513K |        - |    28_7397 |    28_7397 |    4696.98 | *
    |    5514K |        - |    27_7407 |    27_7407 |    4697.04 | *
    |    5514K |        - |    25_7356 |    25_7356 |    4697.20 | *
    |    5548K |        - |    24_7346 |    24_7346 |    4715.56 | *
    |    5548K |        - |    23_7335 |    23_7335 |    4715.72 | *
    |    5549K |        - |    22_7350 |    22_7350 |    4715.95 | *
    |    5577K |        - |    21_7418 |    21_7418 |    4730.87 | *
    |    5590K |        - |    19_7398 |    19_7398 |    4736.20 | *
    |    5591K |        - |    19_7384 |    19_7384 |    4736.22 | *
    |    5600K |        - |    19_7384 |    19_7384 |    4740.58 | 
    |    5641K |        - |    17_7328 |    19_7384 |    4758.09 | p-1
    | ILS perturbation level=1                      |    4758.09 | 
    |    5641K |        - |    17_7328 |    64_7393 |    4758.09 | p-1
    |    5641K |        - |    64_7378 |    64_7378 |    4758.13 | *
    |    5641K |        - |    58_7383 |    58_7383 |    4758.68 | *
    |    5641K |        - |    56_7373 |    56_7373 |    4759.55 | *
    |    5642K |        - |    56_7348 |    56_7348 |    4759.90 | *
    |    5643K |        - |    55_7352 |    55_7352 |    4759.98 | *
    |    5643K |        - |    54_7513 |    54_7513 |    4760.44 | *
    |    5644K |        - |    53_7501 |    53_7501 |    4760.92 | *
    |    5646K |        - |    48_7400 |    48_7400 |    4767.44 | *
    |    5646K |        - |    46_7256 |    46_7256 |    4768.72 | *
    |    5646K |        - |    45_7266 |    45_7266 |    4768.78 | *
    |    5646K |        - |    43_7269 |    43_7269 |    4769.89 | *
    |    5646K |        - |    40_7280 |    40_7280 |    4769.89 | *
    |    5647K |        - |    40_7274 |    40_7274 |    4770.19 | *
    |    5665K |        - |    37_7219 |    37_7219 |    4785.82 | *
    |    5666K |        - |    37_7194 |    37_7194 |    4785.94 | *
    |    5666K |        - |    36_7209 |    36_7209 |    4786.02 | *
    |    5667K |        - |    33_7219 |    33_7219 |    4786.44 | *
    |    5676K |        - |    31_7189 |    31_7189 |    4792.41 | *
    |    5677K |        - |    31_7179 |    31_7179 |    4792.85 | *
    |    5690K |        - |    30_7130 |    30_7130 |    4800.18 | *
    |    5692K |        - |    30_7126 |    30_7126 |    4801.66 | *
    |    5700K |        - |    30_7126 |    30_7126 |    4805.46 | 
    |    5702K |        - |    29_7238 |    29_7238 |    4807.04 | *
    |    5703K |        - |    29_7158 |    29_7158 |    4807.30 | *
    |    5724K |        - |    27_7234 |    27_7234 |    4817.94 | *
    |    5750K |        - |    26_7189 |    26_7189 |    4830.80 | *
    |    5750K |        - |    26_7139 |    26_7139 |    4830.99 | *
    |    5750K |        - |    26_7103 |    26_7103 |    4831.05 | *
    |    5800K |        - |    26_7103 |    26_7103 |    4853.58 | 
    |    5800K |        - |    17_7328 |    26_7103 |    4853.93 | p-1
    | ILS perturbation level=1                      |    4853.93 | 
    |    5800K |        - |    17_7328 |    69_7267 |    4853.93 | p-1
    |    5801K |        - |    64_7246 |    64_7246 |    4853.94 | *
    |    5801K |        - |    61_7257 |    61_7257 |    4854.76 | *
    |    5801K |        - |    60_7337 |    60_7337 |    4854.76 | *
    |    5801K |        - |    57_7336 |    57_7336 |    4854.77 | *
    |    5801K |        - |    54_7321 |    54_7321 |    4855.10 | *
    |    5801K |        - |    53_7217 |    53_7217 |    4855.26 | *
    |    5804K |        - |    48_7247 |    48_7247 |    4859.38 | *
    |    5804K |        - |    45_7372 |    45_7372 |    4864.71 | *
    |    5805K |        - |    44_7342 |    44_7342 |    4865.16 | *
    |    5805K |        - |    43_7322 |    43_7322 |    4865.18 | *
    |    5805K |        - |    43_7317 |    43_7317 |    4865.21 | *
    |    5811K |        - |    38_7363 |    38_7363 |    4880.18 | *
    |    5811K |        - |    38_7318 |    38_7318 |    4880.21 | *
    |    5816K |        - |    36_7293 |    36_7293 |    4882.61 | *
    |    5830K |        - |    35_7361 |    35_7361 |    4888.41 | *
    |    5831K |        - |    35_7351 |    35_7351 |    4888.78 | *
    |    5840K |        - |    34_7245 |    34_7245 |    4893.44 | *
    |    5841K |        - |    34_7225 |    34_7225 |    4893.83 | *
    |    5841K |        - |    34_7195 |    34_7195 |    4893.96 | *
    |    5843K |        - |    34_7164 |    34_7164 |    4894.99 | *
    |    5849K |        - |    33_7200 |    33_7200 |    4898.41 | *
    |    5850K |        - |    33_7140 |    33_7140 |    4898.44 | *
    |    5900K |        - |    17_7328 |    33_7140 |    4928.13 | p-1
    | ILS perturbation level=1                      |    4928.13 | 
    |    5900K |        - |    17_7328 |    58_7239 |    4928.13 | p-1
    |    5900K |        - |    55_7239 |    55_7239 |    4928.15 | *
    |    5900K |        - |    39_7394 |    39_7394 |    4928.27 | *
    |    5900K |        - |    37_7395 |    37_7395 |    4928.43 | *
    |    5900K |        - |    35_7523 |    35_7523 |    4928.57 | *
    |    5900K |        - |    35_7523 |    35_7523 |    4928.57 | 
    |    5900K |        - |    33_7558 |    33_7558 |    4928.57 | *
    |    5900K |        - |    31_7532 |    31_7532 |    4928.57 | *
    |    5900K |        - |    31_7512 |    31_7512 |    4928.57 | *
    |    5900K |        - |    27_7512 |    27_7512 |    4928.60 | *
    |    5900K |        - |    27_7507 |    27_7507 |    4928.60 | *
    |    5901K |        - |    25_7507 |    25_7507 |    4928.80 | *
    |    5901K |        - |    23_7502 |    23_7502 |    4928.82 | *
    |    5901K |        - |    21_7517 |    21_7517 |    4928.84 | *
    |    5901K |        - |    20_7507 |    20_7507 |    4928.90 | *
    |    5901K |        - |    20_7352 |    20_7352 |    4929.07 | *
    |    5901K |        - |    17_7353 |    17_7353 |    4929.18 | *
    |    5943K |        - |    17_7328 |    17_7328 |    4947.63 | *
    |    5993K |        - |    17_7328 |    17_7328 |    4970.11 | p-1
    | ILS perturbation level=1                      |    4970.11 | 
    |    5993K |        - |    17_7328 |   105_7581 |    4970.11 | p-1
    |    5993K |        - |    97_7572 |    97_7572 |    4970.11 | *
    |    5993K |        - |    94_7552 |    94_7552 |    4970.13 | *
    |    5993K |        - |    94_7507 |    94_7507 |    4970.13 | *
    |    5993K |        - |    93_7511 |    93_7511 |    4970.15 | *
    |    5993K |        - |    93_7500 |    93_7500 |    4970.15 | *
    |    5993K |        - |    88_7510 |    88_7510 |    4970.19 | *
    |    5994K |        - |    87_7499 |    87_7499 |    4970.21 | *
    |    5994K |        - |    86_7515 |    86_7515 |    4970.21 | *
    |    5994K |        - |    80_7529 |    80_7529 |    4970.46 | *
    |    5994K |        - |    77_7498 |    77_7498 |    4971.04 | *
    |    5994K |        - |    76_7499 |    76_7499 |    4971.05 | *
    |    5994K |        - |    74_7494 |    74_7494 |    4971.19 | *
    |    5994K |        - |    74_7445 |    74_7445 |    4971.22 | *
    |    5994K |        - |    73_7449 |    73_7449 |    4971.25 | *
    |    5995K |        - |    72_7451 |    72_7451 |    4972.96 | *
    |    5996K |        - |    64_7307 |    64_7307 |    4978.27 | *
    |    5996K |        - |    57_7383 |    57_7383 |    4978.27 | *
    |    5996K |        - |    57_7284 |    57_7284 |    4978.30 | *
    |    5996K |        - |    55_7280 |    55_7280 |    4978.32 | *
    |    5996K |        - |    52_7270 |    52_7270 |    4978.32 | *
    |    5996K |        - |    50_7320 |    50_7320 |    4978.33 | *
    |    5996K |        - |    49_7330 |    49_7330 |    4978.37 | *
    |    5996K |        - |    46_7325 |    46_7325 |    4978.38 | *
    |    5996K |        - |    43_7319 |    43_7319 |    4978.38 | *
    |    5996K |        - |    43_7314 |    43_7314 |    4978.40 | *
    |    5997K |        - |    42_7324 |    42_7324 |    4979.46 | *
    |    5997K |        - |    40_7329 |    40_7329 |    4979.51 | *
    |    5997K |        - |    40_7309 |    40_7309 |    4979.52 | *
    |    5997K |        - |    39_7273 |    39_7273 |    4979.55 | *
    |    5998K |        - |    34_7282 |    34_7282 |    4979.83 | *
    |    5998K |        - |    33_7287 |    33_7287 |    4979.85 | *
    |    5998K |        - |    31_7302 |    31_7302 |    4979.85 | *
    |    5999K |        - |    28_7303 |    28_7303 |    4980.27 | *
    |    5999K |        - |    28_7288 |    28_7288 |    4980.38 | *
    |    6000K |        - |    26_7283 |    26_7283 |    4980.87 | *
    |    6000K |        - |    26_7283 |    26_7283 |    4981.01 | 
    |    6022K |        - |    17_7353 |    17_7353 |    4992.53 | *
    |    6059K |        - |    17_7328 |    17_7328 |    5007.52 | *
    |    6100K |        - |    17_7328 |    17_7328 |    5024.50 | 
    |    6109K |        - |    17_7328 |    17_7328 |    5027.50 | p-1
    | ILS perturbation level=1                      |    5027.50 | 
    |    6109K |        - |    17_7328 |    31_7342 |    5027.50 | p-1
    |    6109K |        - |    31_7308 |    31_7308 |    5027.65 | *
    |    6113K |        - |    29_7372 |    29_7372 |    5030.76 | *
    |    6115K |        - |    29_7367 |    29_7367 |    5031.50 | *
    |    6116K |        - |    29_7351 |    29_7351 |    5032.01 | *
    |    6116K |        - |    18_7342 |    18_7342 |    5032.33 | *
    |    6117K |        - |    17_7353 |    17_7353 |    5032.53 | *
    |    6167K |        - |    17_7328 |    17_7353 |    5055.25 | p-1
    | ILS perturbation level=1                      |    5055.25 | 
    |    6167K |        - |    17_7328 |    67_7169 |    5055.25 | p-1
    |    6167K |        - |    60_7215 |    60_7215 |    5055.27 | *
    |    6167K |        - |    41_7384 |    41_7384 |    5055.29 | *
    |    6167K |        - |    17_7328 |    17_7328 |    5055.39 | *
    |    6200K |        - |    17_7328 |    17_7328 |    5076.38 | 
    |    6217K |        - |    17_7328 |    17_7328 |    5085.13 | p-1
    | ILS perturbation level=1                      |    5085.13 | 
    |    6217K |        - |    17_7328 |    32_7322 |    5085.13 | p-1
    |    6217K |        - |    30_7333 |    30_7333 |    5085.13 | *
    |    6217K |        - |    23_7339 |    23_7339 |    5085.15 | *
    |    6218K |        - |    17_7328 |    17_7328 |    5085.77 | *
    |    6268K |        - |    17_7328 |    17_7328 |    5109.60 | p-1
    | ILS perturbation level=1                      |    5109.60 | 
    |    6268K |        - |    17_7328 |    73_7181 |    5109.60 | p-1
    |    6268K |        - |    72_7181 |    72_7181 |    5109.64 | *
    |    6268K |        - |    71_7160 |    71_7160 |    5109.64 | *
    |    6268K |        - |    68_7175 |    68_7175 |    5109.65 | *
    |    6268K |        - |    60_7156 |    60_7156 |    5109.92 | *
    |    6268K |        - |    57_7155 |    57_7155 |    5109.92 | *
    |    6269K |        - |    57_7135 |    57_7135 |    5110.07 | *
    |    6269K |        - |    52_7115 |    52_7115 |    5110.85 | *
    |    6270K |        - |    51_7155 |    51_7155 |    5111.07 | *
    |    6270K |        - |    48_7165 |    48_7165 |    5111.73 | *
    |    6271K |        - |    48_7130 |    48_7130 |    5112.05 | *
    |    6272K |        - |    42_7084 |    42_7084 |    5113.78 | *
    |    6287K |        - |    39_7076 |    39_7076 |    5130.12 | *
    |    6300K |        - |    39_7076 |    39_7076 |    5137.40 | 
    |    6337K |        - |    17_7328 |    39_7076 |    5156.15 | p-1
    | ILS perturbation level=1                      |    5156.15 | 
    |    6337K |        - |    17_7328 |    60_7391 |    5156.15 | p-1
    |    6337K |        - |    58_7300 |    58_7300 |    5156.17 | *
    |    6337K |        - |    58_7290 |    58_7290 |    5156.17 | *
    |    6337K |        - |    51_7314 |    51_7314 |    5156.29 | *
    |    6337K |        - |    51_7308 |    51_7308 |    5156.31 | *
    |    6337K |        - |    46_7300 |    46_7300 |    5156.47 | *
    |    6338K |        - |    45_7343 |    45_7343 |    5157.39 | *
    |    6339K |        - |    45_7323 |    45_7323 |    5158.26 | *
    |    6339K |        - |    44_7334 |    44_7334 |    5158.40 | *
    |    6339K |        - |    42_7311 |    42_7311 |    5158.44 | *
    |    6351K |        - |    36_7412 |    36_7412 |    5167.13 | *
    |    6367K |        - |    25_7327 |    25_7327 |    5177.38 | *
    |    6396K |        - |    23_7310 |    23_7310 |    5192.33 | *
    |    6396K |        - |    22_7313 |    22_7313 |    5192.36 | *
    |    6400K |        - |    22_7313 |    22_7313 |    5193.40 | 
    |    6406K |        - |    20_7183 |    20_7183 |    5196.85 | *
    |    6456K |        - |    17_7328 |    20_7183 |    5220.52 | p-1
    | ILS perturbation level=1                      |    5220.52 | 
    |    6456K |        - |    17_7328 |   102_7522 |    5220.52 | p-1
    |    6456K |        - |   102_7497 |   102_7497 |    5220.54 | *
    |    6457K |        - |    87_7502 |    87_7502 |    5220.56 | *
    |    6457K |        - |    86_7507 |    86_7507 |    5220.56 | *
    |    6457K |        - |    79_7506 |    79_7506 |    5220.71 | *
    |    6457K |        - |    71_7510 |    71_7510 |    5225.60 | *
    |    6457K |        - |    71_7495 |    71_7495 |    5225.62 | *
    |    6458K |        - |    69_7506 |    69_7506 |    5226.48 | *
    |    6458K |        - |    68_7501 |    68_7501 |    5226.51 | *
    |    6460K |        - |    60_7519 |    60_7519 |    5227.62 | *
    |    6460K |        - |    57_7519 |    57_7519 |    5227.62 | *
    |    6460K |        - |    56_7530 |    56_7530 |    5227.63 | *
    |    6460K |        - |    55_7525 |    55_7525 |    5227.68 | *
    |    6461K |        - |    53_7514 |    53_7514 |    5227.73 | *
    |    6463K |        - |    52_7571 |    52_7571 |    5229.08 | *
    |    6477K |        - |    50_7587 |    50_7587 |    5235.34 | *
    |    6478K |        - |    48_7459 |    48_7459 |    5235.88 | *
    |    6479K |        - |    48_7384 |    48_7384 |    5236.21 | *
    |    6479K |        - |    47_7402 |    47_7402 |    5236.75 | *
    |    6500K |        - |    47_7402 |    47_7402 |    5248.90 | 
    |    6501K |        - |    45_7244 |    45_7244 |    5255.34 | *
    |    6502K |        - |    44_7169 |    44_7169 |    5255.64 | *
    |    6503K |        - |    40_7218 |    40_7218 |    5256.36 | *
    |    6503K |        - |    39_7214 |    39_7214 |    5256.38 | *
    |    6503K |        - |    39_7210 |    39_7210 |    5256.41 | *
    |    6503K |        - |    39_7121 |    39_7121 |    5256.47 | *
    |    6503K |        - |    38_7147 |    38_7147 |    5256.74 | *
    |    6505K |        - |    35_6902 |    35_6902 |    5264.55 | *
    |    6519K |        - |    32_6948 |    32_6948 |    5285.82 | *
    |    6519K |        - |    32_6944 |    32_6944 |    5285.84 | *
    |    6569K |        - |    17_7328 |    32_6944 |    5313.54 | p-1
    | ILS perturbation level=1                      |    5313.54 | 
    |    6569K |        - |    17_7328 |    52_7307 |    5313.54 | p-1
    |    6569K |        - |    49_7269 |    49_7269 |    5313.55 | *
    |    6569K |        - |    45_7283 |    45_7283 |    5313.71 | *
    |    6570K |        - |    40_7303 |    40_7303 |    5314.02 | *
    |    6582K |        - |    39_7307 |    39_7307 |    5325.82 | *
    |    6587K |        - |    37_7342 |    37_7342 |    5329.77 | *
    |    6587K |        - |    31_7395 |    31_7395 |    5333.12 | *
    |    6588K |        - |    30_7400 |    30_7400 |    5333.23 | *
    |    6600K |        - |    30_7400 |    30_7400 |    5339.33 | 
    |    6602K |        - |    28_7408 |    28_7408 |    5340.21 | *
    |    6652K |        - |    17_7328 |    28_7408 |    5366.98 | p-1
    | ILS perturbation level=1                      |    5366.98 | 
    |    6652K |        - |    17_7328 |    18_7324 |    5366.98 | p-1
    |    6652K |        - |    17_7328 |    17_7328 |    5367.02 | *
    |    6700K |        - |    17_7328 |    17_7328 |    5388.04 | 
    |    6702K |        - |    17_7328 |    17_7328 |    5389.21 | p-1
    | ILS perturbation level=1                      |    5389.21 | 
    |    6702K |        - |    17_7328 |    59_7498 |    5389.21 | p-1
    |    6702K |        - |    49_7457 |    49_7457 |    5389.34 | *
    |    6704K |        - |    26_7357 |    26_7357 |    5391.54 | *
    |    6704K |        - |    17_7353 |    17_7353 |    5391.72 | *
    |    6737K |        - |    17_7328 |    17_7328 |    5406.60 | *
    |    6787K |        - |    17_7328 |    17_7328 |    5430.01 | p-1
    | ILS perturbation level=1                      |    5430.01 | 
    |    6787K |        - |    17_7328 |    44_7271 |    5430.01 | p-1
    |    6787K |        - |    17_7328 |    17_7328 |    5430.10 | *
    |    6800K |        - |    17_7328 |    17_7328 |    5435.87 | 
    |    6837K |        - |    17_7328 |    17_7328 |    5454.34 | p-1
    | ILS perturbation level=1                      |    5454.34 | 
    |    6837K |        - |    17_7328 |    52_7148 |    5454.34 | p-1
    |    6837K |        - |    17_7328 |    17_7328 |    5454.34 | *
    |    6887K |        - |    17_7328 |    17_7328 |    5475.95 | p-1
    | ILS perturbation level=1                      |    5475.95 | 
    |    6887K |        - |    17_7328 |    69_7267 |    5475.95 | p-1
    |    6887K |        - |    68_7271 |    68_7271 |    5475.95 | *
    |    6887K |        - |    65_7270 |    65_7270 |    5475.96 | *
    |    6887K |        - |    60_7290 |    60_7290 |    5475.96 | *
    |    6887K |        - |    59_7370 |    59_7370 |    5475.99 | *
    |    6887K |        - |    58_7360 |    58_7360 |    5476.03 | *
    |    6888K |        - |    55_7356 |    55_7356 |    5476.24 | *
    |    6888K |        - |    55_7346 |    55_7346 |    5476.29 | *
    |    6888K |        - |    52_7331 |    52_7331 |    5476.63 | *
    |    6889K |        - |    51_7313 |    51_7313 |    5477.22 | *
    |    6895K |        - |    40_7226 |    40_7226 |    5497.82 | *
    |    6895K |        - |    39_7251 |    39_7251 |    5497.82 | *
    |    6900K |        - |    39_7251 |    39_7251 |    5500.00 | 
    |    6926K |        - |    37_7378 |    37_7378 |    5513.68 | *
    |    6976K |        - |    17_7328 |    37_7378 |    5542.82 | p-1
    | ILS perturbation level=1                      |    5542.82 | 
    |    6976K |        - |    17_7328 |    62_7484 |    5542.82 | p-1
    |    6976K |        - |    61_7489 |    61_7489 |    5542.82 | *
    |    6976K |        - |    59_7488 |    59_7488 |    5543.12 | *
    |    6976K |        - |    29_7258 |    29_7258 |    5543.13 | *
    |    6976K |        - |    22_7316 |    22_7316 |    5543.13 | *
    |    6976K |        - |    17_7328 |    17_7328 |    5543.26 | *
    |    7000K |        - |    17_7328 |    17_7328 |    5556.34 | 
    |    7026K |        - |    17_7328 |    17_7328 |    5568.20 | p-1
    | ILS perturbation level=1                      |    5568.20 | 
    |    7026K |        - |    17_7328 |    59_7536 |    5568.20 | p-1
    |    7026K |        - |    54_7561 |    54_7561 |    5568.22 | *
    |    7026K |        - |    52_7571 |    52_7571 |    5568.25 | *
    |    7026K |        - |    51_7570 |    51_7570 |    5568.28 | *
    |    7026K |        - |    45_7585 |    45_7585 |    5568.42 | *
    |    7027K |        - |    44_7654 |    44_7654 |    5568.44 | *
    |    7035K |        - |    43_7649 |    43_7649 |    5575.97 | *
    |    7041K |        - |    39_7655 |    39_7655 |    5579.80 | *
    |    7042K |        - |    37_7600 |    37_7600 |    5580.97 | *
    |    7057K |        - |    36_7458 |    36_7458 |    5589.56 | *
    |    7057K |        - |    35_7388 |    35_7388 |    5589.58 | *
    |    7057K |        - |    32_7442 |    32_7442 |    5589.60 | *
    |    7057K |        - |    29_7442 |    29_7442 |    5589.61 | *
    |    7057K |        - |    27_7433 |    27_7433 |    5589.77 | *
    |    7057K |        - |    25_7415 |    25_7415 |    5590.24 | *
    |    7058K |        - |    25_7356 |    25_7356 |    5590.41 | *
    |    7059K |        - |    24_7356 |    24_7356 |    5590.71 | *
    |    7086K |        - |    19_7345 |    19_7345 |    5604.85 | *
    |    7087K |        - |    17_7353 |    17_7353 |    5605.04 | *
    |    7100K |        - |    17_7353 |    17_7353 |    5610.45 | 
    |    7137K |        - |    17_7328 |    17_7353 |    5627.98 | p-1
    | ILS perturbation level=1                      |    5627.98 | 
    |    7137K |        - |    17_7328 |    59_7536 |    5627.98 | p-1
    |    7137K |        - |    52_7530 |    52_7530 |    5628.02 | *
    |    7138K |        - |    47_7560 |    47_7560 |    5628.11 | *
    |    7138K |        - |    44_7613 |    44_7613 |    5628.70 | *
    |    7138K |        - |    43_7682 |    43_7682 |    5628.70 | *
    |    7138K |        - |    43_7644 |    43_7644 |    5628.72 | *
    |    7142K |        - |    32_7512 |    32_7512 |    5630.80 | *
    |    7143K |        - |    29_7378 |    29_7378 |    5631.66 | *
    |    7193K |        - |    17_7328 |    29_7378 |    5659.29 | p-1
    | ILS perturbation level=1                      |    5659.29 | 
    |    7193K |        - |    17_7328 |    67_7411 |    5659.29 | p-1
    |    7193K |        - |    67_7366 |    67_7366 |    5659.34 | *
    |    7193K |        - |    54_7405 |    54_7405 |    5659.34 | *
    |    7194K |        - |    53_7400 |    53_7400 |    5659.60 | *
    |    7194K |        - |    52_7396 |    52_7396 |    5659.60 | *
    |    7195K |        - |    51_7441 |    51_7441 |    5660.15 | *
    |    7195K |        - |    51_7417 |    51_7417 |    5660.28 | *
    |    7195K |        - |    51_7342 |    51_7342 |    5660.29 | *
    |    7200K |        - |    51_7342 |    51_7342 |    5665.67 | 
    |    7202K |        - |    48_7222 |    48_7222 |    5666.92 | *
    |    7202K |        - |    47_7297 |    47_7297 |    5666.92 | *
    |    7202K |        - |    46_7396 |    46_7396 |    5667.28 | *
